No,Season,Name,Age,Nat.,Position,Market value,From,To,Fee,Type,,
126,20/21 Winter,Sead Kolasinac,27,Bosnia-Herzegovina,Centre-Back,8000000,Arsenal FC,FC Schalke 04,0,Loan,,
127,20/21 Winter,William Saliba,19,France,Centre-Back,70000000,Arsenal FC,OGC Nice,0,Loan,,
128,20/21 Winter,Ainsley Maitland-Niles,23,England,Central Midfield,6000000,Arsenal FC,West Bromwich Albion,0,Loan,,
129,20/21 Winter,Joe Willock,21,England,Central Midfield,38000000,Arsenal FC,Newcastle United,0,Loan,,
130,20/21 Winter,Fikayo Tomori,23,England,Centre-Back,40000000,Chelsea FC,AC Milan,600000,Loan,,
131,20/21 Winter,Lucas Piazón,26,Brazil,Attacking Midfield,1600000,Chelsea FC,SC Braga,0,Free transfer,,
132,20/21 Winter,Abdul Rahman Baba,26,Ghana,Left-Back,1200000,Chelsea FC,PAOK Thessaloniki,0,Loan,,
133,20/21 Winter,Danny Drinkwater,30,England,Central Midfield,-,Chelsea FC,Kasimpasa,0,Loan,,
134,20/21 Winter,Ozan Kabak,20,Turkey,Centre-Back,13000000,FC Schalke 04,Liverpool FC,2500000,Loan,,
135,20/21 Winter,Ben Davies,25,England,Centre-Back,3500000,Preston North End,Liverpool FC,1850000,Transfer,,
136,20/21 Winter,Sepp van den Berg,19,Netherlands,Centre-Back,5000000,Liverpool FC,Preston North End,0,Loan,,
137,20/21 Winter,Takumi Minamino,26,Japan,Left Winger,10000000,Liverpool FC,Southampton FC,0,Loan,,
138,20/21 Winter,Diego Rosa,18,Brazil,Central Midfield,2000000,Grêmio Foot-Ball Porto Alegrense,Manchester City,6000000,Transfer,,
139,20/21 Winter,Taylor Harwood-Bellis,18,England,Centre-Back,25000000,Manchester City U23,Manchester City,-,Graduated,,
140,20/21 Winter,Daniel Arzani,22,Australia,Left Winger,450000,Manchester City,Aarhus GF,0,Loan,,
141,20/21 Winter,Ante Palaversa,20,Croatia,Central Midfield,500000,Manchester City,KV Kortrijk,0,Loan,,
142,20/21 Winter,Arijanet Muric,22,Kosovo,Goalkeeper,9000000,Manchester City,Willem II Tilburg,0,Loan,,
143,20/21 Winter,Taylor Harwood-Bellis,19,England,Centre-Back,25000000,Manchester City,Blackburn Rovers,0,Loan,,
144,20/21 Winter,Patrick Roberts,23,England,Right Winger,3200000,Manchester City,Derby County,0,Loan,,
145,20/21 Winter,Diego Rosa,18,Brazil,Central Midfield,2000000,Manchester City,Lommel SK,0,Loan,,
146,20/21 Winter,Amad Diallo,18,Cote d'Ivoire,Right Winger,18000000,Atalanta BC,Manchester United,21300000,Transfer,,
147,20/21 Winter,Jesse Lingard,28,England,Attacking Midfield,6000000,Manchester United,West Ham United,2300000,Loan,,
148,20/21 Winter,Timothy Fosu-Mensah,23,Netherlands,Right-Back,2000000,Manchester United,Bayer 04 Leverkusen,1700000,Transfer,,
149,20/21 Winter,Marcos Rojo,30,Argentina,Centre-Back,2200000,Manchester United,CA Boca Juniors,0,Free transfer,,
150,20/21 Winter,Facundo Pellistri,19,Uruguay,Right Winger,8000000,Manchester United,Deportivo Alavés,0,Loan,,
151,20/21 Winter,Tahith Chong,21,Netherlands,Attacking Midfield,4500000,Manchester United,Club Brugge KV,0,Loan,,
152,20/21 Winter,James Garner,19,England,Defensive Midfield,16000000,Manchester United,Nottingham Forest,0,Loan,,
153,20/21 Winter,Teden Mengi,18,England,Centre-Back,2000000,Manchester United,Derby County,0,Loan,,
154,20/21 Winter,Odion Ighalo,31,Nigeria,Centre-Forward,1800000,Manchester United,Shanghai Shenhua,0,End of loan,,
155,20/21 Winter,Jack Clarke,20,England,Left Winger,15000000,Tottenham Hotspur,Stoke City,0,Loan,,
156,20/21 Winter,Paulo Gazzaniga,29,Argentina,Goalkeeper,3000000,Tottenham Hotspur,Elche CF,0,Loan,,
157,20/21 Winter,Gedson Fernandes,22,Portugal,Central Midfield,17000000,Tottenham Hotspur,SL Benfica,0,End of loan,,
158,21/22 Summer,Ben White,23,England,Right-Back,55000000,Brighton & Hove Albion,Arsenal FC,58500000,Transfer,,
159,21/22 Summer,Martin Ødegaard,22,Norway,Attacking Midfield,90000000,Real Madrid,Arsenal FC,35000000,Transfer,,
160,21/22 Summer,Aaron Ramsdale,23,England,Goalkeeper,32000000,Sheffield United,Arsenal FC,28000000,Transfer,,
161,21/22 Summer,Takehiro Tomiyasu,22,Japan,Right-Back,25000000,Bologna FC 1909,Arsenal FC,18600000,Transfer,,
162,21/22 Summer,Albert Sambi Lokonga,21,Belgium,Central Midfield,15000000,RSC Anderlecht,Arsenal FC,17500000,Transfer,,
163,21/22 Summer,Nuno Tavares,21,Portugal,Left-Back,18000000,SL Benfica,Arsenal FC,8000000,Transfer,,
164,21/22 Summer,Arthur Okonkwo,19,England,Goalkeeper,2000000,Arsenal FC U23,Arsenal FC,-,Graduated,,
165,21/22 Summer,Joe Willock,21,England,Central Midfield,38000000,Arsenal FC,Newcastle United,29400000,Transfer,,
166,21/22 Summer,Lucas Torreira,25,Uruguay,Defensive Midfield,15000000,Arsenal FC,ACF Fiorentina,1500000,Loan,,
167,21/22 Summer,David Luiz,34,Brazil,Centre-Back,500000,Arsenal FC,CR Flamengo,0,Free transfer,,
168,21/22 Summer,Willian,33,Brazil,Left Winger,3000000,Arsenal FC,Sport Club Corinthians Paulista,0,Free transfer,,
169,21/22 Summer,Dejan Iliev,26,North Macedonia,Goalkeeper,300000,Arsenal FC,SKF Sered,0,Loan,,
170,21/22 Summer,William Saliba,20,France,Centre-Back,70000000,Arsenal FC,Olympique Marseille,0,Loan,,
171,21/22 Summer,Mattéo Guendouzi,22,France,Central Midfield,20000000,Arsenal FC,Olympique Marseille,0,Loan,,
172,21/22 Summer,Reiss Nelson,21,England,Right Winger,12000000,Arsenal FC,Feyenoord Rotterdam,0,Loan,,
173,21/22 Summer,Rúnar Alex Rúnarsson,26,Iceland,Goalkeeper,1000000,Arsenal FC,Oud-Heverlee Leuven,0,Loan,,
174,21/22 Summer,Héctor Bellerín,26,Spain,Right-Back,8000000,Arsenal FC,Real Betis Balompié,0,Loan,,
175,21/22 Summer,Martin Ødegaard,22,Norway,Attacking Midfield,90000000,Arsenal FC,Real Madrid,0,End of loan,,
176,21/22 Summer,Mathew Ryan,29,Australia,Goalkeeper,4000000,Arsenal FC,Brighton & Hove Albion,0,End of loan,,
177,21/22 Summer,Dani Ceballos,24,Spain,Central Midfield,12000000,Arsenal FC,Real Madrid,0,End of loan,,
178,21/22 Summer,Romelu Lukaku,28,Belgium,Centre-Forward,40000000,Inter Milan,Chelsea FC,113000000,Transfer,,
179,21/22 Summer,Saúl Ñíguez,26,Spain,Central Midfield,12000000,Atlético de Madrid,Chelsea FC,5000000,Loan,,
180,21/22 Summer,Marcus Bettinelli,29,England,Goalkeeper,1500000,Fulham FC,Chelsea FC,0,Free transfer,,
181,21/22 Summer,Trevoh Chalobah,21,England,Centre-Back,18000000,Chelsea FC U23,Chelsea FC,-,Graduated,,
182,21/22 Summer,Tammy Abraham,23,England,Centre-Forward,35000000,Chelsea FC,AS Roma,41000000,Transfer,,
183,21/22 Summer,Kurt Zouma,26,France,Centre-Back,22000000,Chelsea FC,West Ham United,35000000,Transfer,,
184,21/22 Summer,Fikayo Tomori,23,England,Centre-Back,40000000,Chelsea FC,AC Milan,31600000,Transfer,,
185,21/22 Summer,Marc Guéhi,21,England,Centre-Back,35000000,Chelsea FC,Crystal Palace,23340000,Transfer,,
186,21/22 Summer,Davide Zappacosta,29,Italy,Right Midfield,7000000,Chelsea FC,Atalanta BC,6000000,Transfer,,
187,21/22 Summer,Victor Moses,30,Nigeria,Right Midfield,2000000,Chelsea FC,Spartak Moscow,5000000,Transfer,,
188,21/22 Summer,Tiemoué Bakayoko,27,France,Defensive Midfield,2500000,Chelsea FC,AC Milan,3000000,Loan,,
189,21/22 Summer,Olivier Giroud,34,France,Centre-Forward,4000000,Chelsea FC,AC Milan,2850000,Transfer,,
190,21/22 Summer,Emerson Palmieri,27,Italy,Left-Back,12000000,Chelsea FC,Olympique Lyon,500000,Loan,,
191,21/22 Summer,Kenedy,25,Brazil,Left Winger,1500000,Chelsea FC,CR Flamengo,500000,Loan,,
192,21/22 Summer,Michy Batshuayi,27,Belgium,Centre-Forward,9000000,Chelsea FC,Besiktas JK,150000,Loan,,
193,21/22 Summer,Marco van Ginkel,28,Netherlands,Central Midfield,1300000,Chelsea FC,PSV Eindhoven,0,Free transfer,,
194,21/22 Summer,Izzy Brown,24,England,Left Winger,-,Chelsea FC,Preston North End,0,Free transfer,,
195,21/22 Summer,Danilo Pantic,24,Serbia,Attacking Midfield,1200000,Chelsea FC,FK Partizan Belgrade,0,Free transfer,,
196,21/22 Summer,Jake Clarke-Salter,23,England,Centre-Back,1500000,Chelsea FC,Coventry City,0,Loan,,
197,21/22 Summer,Billy Gilmour,20,Scotland,Defensive Midfield,18000000,Chelsea FC,Norwich City,0,Loan,,
198,21/22 Summer,Matt Miazga,26,United States,Centre-Back,1800000,Chelsea FC,Deportivo Alavés,0,Loan,,
199,21/22 Summer,Abdul Rahman Baba,27,Ghana,Left-Back,1200000,Chelsea FC,Reading FC,0,Loan,,
200,21/22 Summer,Danny Drinkwater,31,England,Central Midfield,-,Chelsea FC,Reading FC,0,Loan,,
201,21/22 Summer,Ethan Ampadu,20,Wales,Defensive Midfield,12000000,Chelsea FC,Venezia FC,0,Loan,,
202,21/22 Summer,Jamal Blackman,27,England,Goalkeeper,350000,Chelsea FC,Without Club,-,End of contract,,
203,21/22 Summer,Willy Caballero,39,Argentina,Goalkeeper,-,Chelsea FC,Without Club,-,End of contract,,
204,21/22 Summer,Ibrahima Konaté,22,France,Centre-Back,38000000,RB Leipzig,Liverpool FC,40000000,Transfer,,
205,21/22 Summer,Harvey Elliott,18,England,Attacking Midfield,35000000,Liverpool FC U23,Liverpool FC,-,Graduated,,
206,21/22 Summer,Harry Wilson,24,Wales,Right Winger,16000000,Liverpool FC,Fulham FC,14000000,Transfer,,
207,21/22 Summer,Taiwo Awoniyi,23,Nigeria,Centre-Forward,30000000,Liverpool FC,1.FC Union Berlin,8550000,Transfer,,
208,21/22 Summer,Xherdan Shaqiri,29,Switzerland,Attacking Midfield,3500000,Liverpool FC,Olympique Lyon,6000000,Transfer,,
209,21/22 Summer,Marko Gruji?,25,Serbia,Defensive Midfield,9000000,Liverpool FC,FC Porto,1000000,Loan,,
210,21/22 Summer,Georginio Wijnaldum,30,Netherlands,Central Midfield,6000000,Liverpool FC,Paris Saint-Germain,0,Free transfer,,
